id,full_name,description,position_type,referral_id,employer_id,photo_url,photo_origin,notes,work_title,links,photo_url_2,photo_origin_2,notes_2,work_title_2,links_2,commission_id
38453,Галиновская Светлана Дмитриевна,гражданами путем подачи заявления,0,4000,5799,https://members2020by.s3.eu-north-1.amazonaws.com/03-102-0010%20%D0%93%D0%B0%D0%BB%D0%B8%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F%20%D0%A1%D0%B2%D0%B5%D1%82%D0%BB%D0%B0%D0%BD%D0%B0%20%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%BD%D0%B0.jpeg,https://sv6.schools.by/teacher/224653#photo285095,«Средняя школа № 6 г.Светлогорска»,Учитель,https://sv6.schools.by/teacher/224653,,,,,,3417
38454,Григорук Алла Николаевна,гражданами путем подачи заявления,0,4000,NULL,,,,,,,,,,,3417
38455,Гусаченко Инна Валентиновна,Светлогорской районной организацией общественного объединения «Белорусский фонд мира»,0,15,5799,https://members2020by.s3.eu-north-1.amazonaws.com/03-102-0010%20%D0%93%D1%83%D1%81%D0%B0%D1%87%D0%B5%D0%BD%D0%BA%D0%BE%20%D0%98%D0%BD%D0%BD%D0%B0%20%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://sv6.schools.by/teacher/224655#photo165952,«Средняя школа № 6 г.Светлогорска»,Учитель начальных классов,https://sv6.schools.by/teacher/224655,,,,,,3417
38456,Гуляева Инга Владимировна,Светлогорской районной организацией общественного объединения «Белорусский республиканский союз молодежи»,0,11,5799,https://members2020by.s3.eu-north-1.amazonaws.com/03-102-0010%20%D0%93%D1%83%D0%BB%D1%8F%D0%B5%D0%B2%D0%B0%20%D0%98%D0%BD%D0%B3%D0%B0%20%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://sv6.schools.by/teacher/298171#photo4429246,«Средняя школа № 6 г.Светлогорска»,Учитель физической культуры,https://sv6.schools.by/teacher/298171,,,,,,3417
38457,Домостой Лилия Ивановна,Светлогорской районной организацией Белорусского Общества Красного Креста,0,5,5799,https://members2020by.s3.eu-north-1.amazonaws.com/03-102-0010%20%D0%94%D0%BE%D0%BC%D0%BE%D1%81%D1%82%D0%BE%D0%B9%20%D0%9B%D0%B8%D0%BB%D0%B8%D1%8F%20%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://sv6.schools.by/teacher/739342#photo2628751,«Средняя школа № 6 г.Светлогорска»,Учитель,https://sv6.schools.by/teacher/739342,,,,,,3417
38458,Дорошко Татьяна Ивановна,гражданами путем подачи заявления,0,4000,5799,,,«Средняя школа № 6 г.Светлогорска»,Учитель,https://sv6.schools.by/teacher/224657,,,,,,3417
38459,Кузьмина Елена Павловна,гражданами путем подачи заявления,0,4000,5799,https://members2020by.s3.eu-north-1.amazonaws.com/03-102-0010%20%D0%9A%D1%83%D0%B7%D1%8C%D0%BC%D0%B8%D0%BD%D0%B0%20%D0%95%D0%BB%D0%B5%D0%BD%D0%B0%20%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://sv6.schools.by/teacher/224672#photo4083849,«Средняя школа № 6 г.Светлогорска»,Учитель,https://sv6.schools.by/teacher/224672,,,,,,3417
38460,Лапич Наталия Владимировна,Светлогорской районной организацией Социал-демократической партии Народного Согласия,0,2,5799,https://members2020by.s3.eu-north-1.amazonaws.com/03-102-0010%20%D0%9B%D0%B0%D0%BF%D0%B8%D1%87%20%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D0%B8%D1%8F%20%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://sv6.schools.by/teacher/224662#photo2519043,«Средняя школа № 6 г.Светлогорска»,Учитель русского языка и литературы,https://sv6.schools.by/teacher/224662,,,,,,3417
38461,Матвиенко Лариса Валерьевна,гражданами путем подачи заявления,0,4000,5799,https://members2020by.s3.eu-north-1.amazonaws.com/03-102-0010%20%D0%9C%D0%B0%D1%82%D0%B2%D0%B8%D0%B5%D0%BD%D0%BA%D0%BE%20%D0%9B%D0%B0%D1%80%D0%B8%D1%81%D0%B0%20%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0.jpeg,https://sv6.schools.by/teacher/224664#photo3267137,«Средняя школа № 6 г.Светлогорска»,Учитель начальных классов,https://sv6.schools.by/teacher/224664,,,,,,3417
38462,Прус Дарья Станиславовна,гражданами путем подачи заявления,0,4000,5799,https://members2020by.s3.eu-north-1.amazonaws.com/03-102-0010%20%D0%9F%D1%80%D1%83%D1%81%20%D0%94%D0%B0%D1%80%D1%8C%D1%8F%20%D0%A1%D1%82%D0%B0%D0%BD%D0%B8%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://sv6.schools.by/teacher/1100752#photo6093561,«Средняя школа № 6 г.Светлогорска»,Учитель,https://sv6.schools.by/teacher/1100752,,,,,,3417
