id,full_name,description,position_type,referral_id,employer_id,photo_url,photo_origin,notes,work_title,links,photo_url_2,photo_origin_2,notes_2,work_title_2,links_2,commission_id
40928,Конюх Виктор Людвигович,заявления граждан,0,4000,5590,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0134%20%D0%9A%D0%BE%D0%BD%D1%8E%D1%85%20%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%20%D0%9B%D1%8E%D0%B4%D0%B2%D0%B8%D0%B3%D0%BE%D0%B2%D0%B8%D1%87.jpeg,https://sch5grodno.schools.by/teacher/258492,"ГУО ""Средняя школа №5 г.Гродно""",,,,,,,,3632
40929,Лейко Светлана Генриховна,заявления граждан,0,4000,5590,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0134%20%D0%9B%D0%B5%D0%B9%D0%BA%D0%BE%20%D0%A1%D0%B2%D0%B5%D1%82%D0%BB%D0%B0%D0%BD%D0%B0%20%D0%93%D0%B5%D0%BD%D1%80%D0%B8%D1%85%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://sch5grodno.schools.by/teacher/936069,"ГУО ""Средняя школа №5 г.Гродно""",,,,,,,,3632
40930,Мозоль Ольга Николаевна,Гродненской городской организацией общественного объединения «Белорусский республиканский союз молодежи»,0,11,5590,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0134%20%D0%9C%D0%BE%D0%B7%D0%BE%D0%BB%D1%8C%20%D0%9E%D0%BB%D1%8C%D0%B3%D0%B0%20%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%BD%D0%B0.jpeg,https://sch5grodno.schools.by/teacher/258497,"ГУО ""Средняя школа №5 г.Гродно""",,,,,,,,3632
40931,Орловская Татьяна Александровна,собранием избирателей трудового коллектива ГУО «Ясли-сад № 32 г.Гродно»,0,NULL,13273,,,,,,,,«Ясли-сад № 32 г.Гродно»,,,3632
40932,Шкубель Ирина Иосифовна,заявления граждан,0,4000,5590,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0134%20%D0%A8%D0%BA%D1%83%D0%B1%D0%B5%D0%BB%D1%8C%20%D0%98%D1%80%D0%B8%D0%BD%D0%B0%20%D0%98%D0%BE%D1%81%D0%B8%D1%84%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://sch5grodno.schools.by/administration/258475,"ГУО ""Средняя школа №5 г.Гродно""",,,,,,,,3632
40933,Словик Владимир Владиславович,"Октябрьскяй районной организацией г.Гродно Республиканского общественного объединения «Белая Русь», путем подачи заявления граждан",1,4000,NULL,,,,,,,,,,,3633
40934,Денищик Сергей Александрович,заявления граждан,2,4000,NULL,,,,,,,,,,,3633
40935,Савостьян Инна Викторовна,"Октябрьской районной организацией общественного объединения «Белорусский союз женщин» г.Гродно, путем подачи заявления граждан",3,4000,NULL,,,,,,,,,,,3633
40936,Гаврилюк Людмила Олеговна,заявления граждан,0,4000,NULL,,,,,,,,,,,3633
40937,Говорик Денис Анатольевич,собранием избирателей трудовых коллективов службы механизации и транспорта и цеха топливоподачи филиала «Гродненская теплоэлектроцентраль-2» гродненского республиканского унитарного предприятия электроэнергетики «Гродноэнерго» (далее - РУП «Гродноэнерго»),0,NULL,11070,,,,,,,,«Гродненская теплоэлектроцентраль-2» гродненского республиканского унитарного предприятия электроэнергетики «Гродноэнерго» (далее - РУП «Гродноэнерго»,,,3633
40938,Горбачев Александр Леонидович,Гродненской областной организацией Белорусского профессионального союза работников государственные и других учреждений,0,NULL,NULL,,,,,,,,,,,3633
40939,Густова Жанна Андреевна,Гродненской городской организацией Белорусского профессионального союза работников образования и науки,0,26,NULL,,,,,,,,,,,3633
40940,Дорошкевии Юрий Викентьевич,Гродненской областной организацией Белорусского профессионального союза работников местной промышленности и коммунально-бытовые предпр,0,NULL,NULL,,,,,,,,,,,3633
40941,Зубрина Людмила Степановна,Октябрьской районной г.Гродно организацией ветеранов Белорусского общественного объединения ветеранов,0,1,NULL,,,,,,,,,,,3633
40942,Купраш Татьяна Витальевна,заявления граждан,0,4000,NULL,,,,,,,,,,,3633
40943,Малмыго Сергей Петрович,"собранием избирателей трудового коллектива службы вычислительной техники, телемеханики и радиосвязи и службы наладки, измерений, испытаний, электрохозяйства филиала «Гродненские тепловые сети» РУП «Гнодноэнерго», путем подачи заявления граждан",0,4000,11075,,,,,,,,«Гродненские тепловые сети» РУП «Гнодноэнерго»,,,3633
